league,season,team,player,nation,pos,age,born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
ENG-Premier League,1920,Manchester City,John Stones,ENG,DF,25,1994,12.5,0,6,1,16.7,0.48,0.08,0.0,0.0,9.6,0,0,0,0.4,0.4,0.07,-0.4,-0.4
ENG-Premier League,1920,Manchester City,João Cancelo,POR,DF,25,1994,13.4,0,15,3,20.0,1.12,0.22,0.0,0.0,23.9,0,0,0,0.6,0.6,0.04,-0.6,-0.6
ENG-Premier League,1920,Manchester City,Kevin De Bruyne,BEL,MF,28,1991,31.0,13,97,29,29.9,3.13,0.94,0.11,0.38,21.8,11,2,2,7.3,5.8,0.06,5.7,5.2
ENG-Premier League,1920,Manchester City,Kyle Walker,ENG,DF,29,1990,26.6,1,14,3,21.4,0.53,0.11,0.07,0.33,25.0,1,0,0,1.2,1.2,0.09,-0.2,-0.2
ENG-Premier League,1920,Manchester City,Leroy Sané,GER,FW,23,1996,0.1,0,2,0,0.0,15.0,0.0,0.0,,26.5,1,0,0,0.1,0.1,0.06,-0.1,-0.1
ENG-Premier League,1920,Manchester City,Nicolás Otamendi,ARG,DF,31,1988,19.1,2,15,7,46.7,0.79,0.37,0.13,0.29,8.4,0,0,0,1.9,1.9,0.13,0.1,0.1
ENG-Premier League,1920,Manchester City,Oleksandr Zinchenko,UKR,DF,22,1996,14.2,0,16,3,18.8,1.13,0.21,0.0,0.0,26.0,0,0,0,0.5,0.5,0.03,-0.5,-0.5
ENG-Premier League,1920,Manchester City,Phil Foden,ENG,"FW,MF",19,2000,10.0,5,34,14,41.2,3.4,1.4,0.15,0.36,16.8,0,0,0,3.3,3.3,0.1,1.7,1.7
ENG-Premier League,1920,Manchester City,Raheem Sterling,ENG,FW,24,1994,29.5,20,97,36,37.1,3.29,1.22,0.21,0.56,14.0,1,0,2,18.2,16.4,0.17,1.8,3.6
ENG-Premier League,1920,Manchester City,Riyad Mahrez,ALG,"FW,MF",28,1991,21.6,11,73,30,41.1,3.38,1.39,0.14,0.33,17.0,6,1,1,7.8,7.0,0.1,3.2,3.0
ENG-Premier League,1920,Manchester City,Rodri,ESP,MF,23,1996,27.6,3,24,9,37.5,0.87,0.33,0.13,0.33,20.1,0,0,0,0.9,0.9,0.04,2.1,2.1
ENG-Premier League,1920,Manchester City,Sergio Agüero,ARG,FW,31,1988,16.1,16,73,24,32.9,4.52,1.49,0.19,0.58,13.7,0,2,3,14.5,12.1,0.17,1.5,1.9
